1982,0.55,0.46,0.47,0.5,0.4,0.59,0.53
1983,0.51,0.44,0.4,0.35,0.49,0.48,0.36
1984,0.86,0.35,0.49,0.55,0.39,0.58,0.57
1985,0.33,0.64,0.51,0.47,0.4,0.6,0.59
1986,0.62,0.62,0.43,0.43,0.43,0.51,0.65
1987,0.51,0.62,0.47,0.45,0.42,0.54,0.55
1988,0.51,0.66,0.37,0.39,0.35,0.31,0.48
1989,0.63,0.48,0.55,0.52,0.38,0.55,0.71
1990,0.46,0.63,0.48,0.39,0.31,0.54,0.46
1991,0.49,0.53,0.43,0.45,0.36,0.51,0.49
1992,0.48,0.54,0.36,0.28,0.35,0.45,0.35
1993,0.49,0.47,0.3,0.26,0.37,0.46,0.34
1994,0.45,0.41,0.37,0.36,0.35,0.43,0.39
1995,0.4,0.47,0.46,0.47,0.36,0.55,0.47
1996,0.44,0.46,0.36,0.38,0.34,0.38,0.34
1997,0.43,0.42,0.3,0.29,0.4,0.43,0.28
1998,0.51,0.44,0.41,0.46,0.33,0.5,0.38
1999,0.46,0.48,0.3,0.36,0.28,0.4,0.33
2000,0.37,0.42,0.37,0.32,0.36,0.38,0.28
2001,0.42,0.45,0.38,0.36,0.29,0.37,0.4
2002,0.52,0.43,0.26,0.25,0.28,0.48,0.39
2003,0.3,0.39,0.31,0.25,0.26,0.36,0.31
2004,0.23,0.32,0.21,0.31,0.25,0.38,0.4
2005,0.32,0.28,0.24,0.3,0.24,0.39,0.35
2006,0.31,0.36,0.23,0.27,0.18,0.35,0.33
2007,0.29,0.29,0.17,0.24,0.19,0.24,0.31
2008,0.31,0.3,0.25,0.27,0.18,0.31,0.33
2009,0.21,0.36,0.19,0.24,0.17,0.3,0.32
2010,0.26,0.71,0.28,0.27,0.09,0.32,0.33
2011,0.28,0.2,0.23,0.1,0.07,0.28,0.23
2012,0.35,0.3,0.29,0.09,0.05,0.35,0.3
