id,R2_N1_cv,R2_N1_fit
1,0.352,0.438
2,-0.167,0.37
3,-0.913,0.303
4,-2.235,0.218
5,-0.622,0.022
6,-0.485,0.296
7,-0.727,0.145
8,-0.558,0.125
9,-0.13,0.234
10,-0.043,0.265
11,-1.276,0.169
12,-0.683,0.339
13,-0.074,0.428
14,-0.372,0.303
15,0.197,0.376
16,-0.984,0.254
17,0.263,0.425
18,-1.452,0.121
19,-0.055,0.388
20,-1.228,0.161
21,-1.332,0.302
22,0.002,0.402
23,-0.664,0.223
24,-0.965,0.26
25,-0.931,0.283
26,-1.31,0.255
27,-5.283,0.24
28,-3.765,0.148
29,-1.289,0.196
30,-1.743,0.181
31,-1.215,0.091
